"KM025","KL","MIL",,"UBS","42%","2.07"
"KR001","KL","RO",,"UBS","42%","2.06"
"GB008","GL","BK","VAR PITA","UBS","37.5%","7.12"
"IB022","GLB","BK","VAR 5BOLA","UBS","37.5%","2.55"
"IB035","GLB","BK","ULIR VAR AD HATI","UBS","37.5%","2.08"
"CV001","CC","VAR","AD HATI","UBS","37.5%","2.18"
"CV003","CC","VAR","AD BULAT","UBS","37.5%","1.6"
"CV005","CC","VAR","BTG AD HATI","UBS","37.5%","1.1"
"CV007","CC","VAR","2PITA AD","UBS","37.5%","1.25"
"CV039","CC","VAR","PER RAINBOW","UBS","37.5%","2.23"
"CV052","CC","VAR","CAT AD","UBS","37.5%","2.18"
"CV083","CC","VAR","2 HATI LBG","UBS","37.5%","0.8"
"CV105","CC","VAR","BTG AD PINK","UBS","37.5%","1.22"
"DV026","CA","VAR","CAT MIKI 2AD","LG","37.5%","1.1"
"BM009","AA","MN","CAT KELINCI","HWT","37.5%","0.78"
"BM014","AA","MN","CAT FROZEN 1AD","LG","37.5%","1.23"
"AK061","AT","KL","BUNGA 5AD","LG","37.5%","1.2"
"AP019","AT","KPA","MOZAIK","UBS","37.5%","0.7"
"AM032","AT","MN","TETES LBG 1AD","UBS","37.5%","0.6"
"TD037","LT","DS","ANGSA RAINBOW","UBS","37.5%","1.3"
"TD056","LT","DS","KUPU AD PINK","UBS","37.5%","1.09"
"TD057","LT","DS","KUPU AD PINK","UBS","37.5%","1.11"
"GB031","GL","BK","OVAL 7BOLA 3WNA PASIRAN","UBS","37.5%","4.16"
"GB032","GL","BK","OVAL FULL BOTORAN 3WNA","UBS","37.5%","4.67"
"GB049","GL","BK","OVAL ULIR BESAR VAR PUTIH","UBS","37.5%","6.15"
"KN001","KL","MN","ALFABET F","UBS","37.5%","1.97"
"CL023","CC","PLS","MOZAIK","UBS","37.5%","1.52"
"GM031","GL","MN","HLW 3BOLA AD","UBS","37.5%","5.56"
"GM034","GL","MN","SANTA 2BOLA PTH 1BOLA HTM","UBS","42%","4.63"
"GB055","GL","BK","OVAL PANDA CAT","YT","37.5%","4.72"
"NL003","KLA","LL",,"UBS","37.5%","2.1"
