'KL Milano','KM001','3.090',1,'UBS'
'KL Milano','KM002','3.100',1,'UBS'
'KL Milano','KM003','5.120',1,'UBS'
'KL Milano','KM004','6.240',1,'UBS'
'KL Milano','KM005','5.050',1,'UBS'
'KL Milano','KM006','6.120',1,'UBS'
'KL Milano','KM007','5.080',1,'UBS'
'KL Milano','KM008','3.030',1,'UBS'
'KL Milano','KM009','5.060',1,'UBS'
'KL Milano','KM010','4.000',1,'UBS'
'KL Milano','KM011','5.060',1,'UBS'
'KL Milano','KM012','4.080',1,'UBS'
'KL Milano','KM013','4.110',1,'UBS'
'KL Milano','KM014','4.000',1,'UBS'
'KL Milano','KM015','8.170',1,'UBS'
'KL Milano','KM016','5.050',1,'UBS'
'KL Milano','KM017','2.970',1,'UBS'
'KL Milano','KM018','7.040',1,'UBS'
'KL Milano','KM019','8.120',1,'UBS'
'KL Milano','KM020','10.060',1,'UBS'
'KL Milano','KM021','4.150',1,'UBS'
'KL Milano','KM022','3.070',1,'UBS'
'KL Milano','KM023','2.050',1,'UBS'
'KL Milano','KM024','3.050',1,'UBS'
'KL Milano','KM025','2.070',1,'UBS'
'KL Milano','KM026','9.840',1,'UBS'
